Date	County	Rooms	Rooms Occupied	Trailers Requested	Trailers Delivered	Donated Trailers Delivered
4/14/2020	Alameda County	403	115	91	85	
4/14/2020	Alpine County					
4/14/2020	Amador County					
4/14/2020	Butte County	65	65			
4/14/2020	Calaveras County					
4/14/2020	Colusa County					
4/14/2020	Contra Costa County	340				
4/14/2020	Del Norte County					
4/14/2020	El Dorado County					
4/14/2020	Fresno County	305	250	28		
4/14/2020	Glenn County					
4/14/2020	Humboldt County			15		
4/14/2020	Imperial County	36				
4/14/2020	Inyo County					
4/14/2020	Kern County			15	15	
4/14/2020	Kings County					
4/14/2020	Lake County					
4/14/2020	Lassen County					
4/14/2020	Los Angeles County	2,654	535	658	654	
4/14/2020	Madera County					
4/14/2020	Marin County	80	43	44		
4/14/2020	Mariposa County	44				
4/14/2020	Mendocino County	103	63			
4/14/2020	Merced County					
4/14/2020	Modoc County					
4/14/2020	Mono County	48				
4/14/2020	Monterey County			108		
4/14/2020	Napa County			18		
4/14/2020	Nevada County	27				
4/14/2020	Orange County	276		78	74	
4/14/2020	Placer County	15	15			
4/14/2020	Plumas County					
4/14/2020	Riverside County	422	303	15	15	
4/14/2020	Sacramento County	316	63	63	63	
4/14/2020	San Benito County					
4/14/2020	San Bernardino County			20		20
4/14/2020	San Diego County	2,029	409	35	35	
4/14/2020	San Francisco County	1,012	327			
4/14/2020	San Joaquin County					
4/14/2020	San Luis Obispo County	154		14	14	
4/14/2020	San Mateo County	94	94			
4/14/2020	Santa Barbara County					
4/14/2020	Santa Clara County	453	170	105	105	
4/14/2020	Santa Cruz County	27	17	35		
4/14/2020	Shasta County					
4/14/2020	Sierra County					
4/14/2020	Siskiyou County					
4/14/2020	Solano County					
4/14/2020	Sonoma County	45	45			
4/14/2020	Stanislaus County					
4/14/2020	Sutter County	16	16			
4/14/2020	Tehama County					
4/14/2020	Trinity County					
4/14/2020	Tulare County	23				
4/14/2020	Tuolumne County					
4/14/2020	Ventura County	398	275			
4/14/2020	Yolo County	146	119			
4/14/2020	Yuba County	30	18			
4/15/2020	Alameda County	403	132	91	85	
4/15/2020	Alpine County					
4/15/2020	Amador County					
4/15/2020	Butte County	65	65			
4/15/2020	Calaveras County					
4/15/2020	Colusa County					
4/15/2020	Contra Costa County	340				
4/15/2020	Del Norte County					
4/15/2020	El Dorado County					
4/15/2020	Fresno County	305	250	28		
4/15/2020	Glenn County					
4/15/2020	Humboldt County			15		
4/15/2020	Imperial County	36				
4/15/2020	Inyo County					
4/15/2020	Kern County			15	15	
4/15/2020	Kings County					
4/15/2020	Lake County					
4/15/2020	Lassen County					
4/15/2020	Los Angeles County	2,426	593	658	654	
4/15/2020	Madera County					
4/15/2020	Marin County	80	43	44		
4/15/2020	Mariposa County	44				
4/15/2020	Mendocino County	103	63			
4/15/2020	Merced County					
4/15/2020	Modoc County					
4/15/2020	Mono County	48				
4/15/2020	Monterey County			108		
4/15/2020	Napa County			18		
4/15/2020	Nevada County	27				
4/15/2020	Orange County	276		78	74	
4/15/2020	Placer County	15	15			
4/15/2020	Plumas County					
4/15/2020	Riverside County	422	303	15	15	
4/15/2020	Sacramento County	316	63	63	63	
4/15/2020	San Benito County					
4/15/2020	San Bernardino County			20		20
4/15/2020	San Diego County	2,029	409	35	35	
4/15/2020	San Francisco County	1,012	751			
4/15/2020	San Joaquin County					
4/15/2020	San Luis Obispo County	154		14	14	
4/15/2020	San Mateo County	94	94			
4/15/2020	Santa Barbara County					
4/15/2020	Santa Clara County	453	170	105	105	
4/15/2020	Santa Cruz County	27	17	35		
4/15/2020	Shasta County					
4/15/2020	Sierra County					
4/15/2020	Siskiyou County					
4/15/2020	Solano County					
4/15/2020	Sonoma County	45	45			
4/15/2020	Stanislaus County					
4/15/2020	Sutter County	16	16			
4/15/2020	Tehama County					
4/15/2020	Trinity County					
4/15/2020	Tulare County	23				
4/15/2020	Tuolumne County					
4/15/2020	Ventura County	398	275			
4/15/2020	Yolo County	146	119			
4/15/2020	Yuba County	30	18			
4/16/2020	Alameda County	403	210	91	85	
4/16/2020	Alpine County					
4/16/2020	Amador County					
4/16/2020	Butte County	71	71			
4/16/2020	Calaveras County	20	20			
4/16/2020	Colusa County					
4/16/2020	Contra Costa County	340				
4/16/2020	Del Norte County					
4/16/2020	El Dorado County					
4/16/2020	Fresno County	305	250	28	28	
4/16/2020	Glenn County					
4/16/2020	Humboldt County	44	11	15		
4/16/2020	Imperial County	36				
4/16/2020	Inyo County					
4/16/2020	Kern County			15	15	
4/16/2020	Kings County					
4/16/2020	Lake County					
4/16/2020	Lassen County					
4/16/2020	Los Angeles County	2,654	707	658	654	
4/16/2020	Madera County					
4/16/2020	Marin County	112	65	44		
4/16/2020	Mariposa County	44				
4/16/2020	Mendocino County	128	82			
4/16/2020	Merced County					
4/16/2020	Modoc County					
4/16/2020	Mono County	48				
4/16/2020	Monterey County			108		
4/16/2020	Napa County	104	47	18		
4/16/2020	Nevada County	27				
4/16/2020	Orange County	276	11	78	76	
4/16/2020	Placer County	15	15			
4/16/2020	Plumas County					
4/16/2020	Riverside County	422	303	15	15	
4/16/2020	Sacramento County	316	63	63	63	
4/16/2020	San Benito County					
4/16/2020	San Bernardino County	50	37	20		20
4/16/2020	San Diego County	2,029	409	45	45	
4/16/2020	San Francisco County	1,271	748			
4/16/2020	San Joaquin County					
4/16/2020	San Luis Obispo County	154		14	14	
4/16/2020	San Mateo County	94	94			
4/16/2020	Santa Barbara County	76				
4/16/2020	Santa Clara County	453	170	105	105	
4/16/2020	Santa Cruz County	27	19	35		
4/16/2020	Shasta County	20				
4/16/2020	Sierra County					
4/16/2020	Siskiyou County					
4/16/2020	Solano County					
4/16/2020	Sonoma County	45	45			
4/16/2020	Stanislaus County	121				
4/16/2020	Sutter County	16	16			
4/16/2020	Tehama County					
4/16/2020	Trinity County					
4/16/2020	Tulare County	23				
4/16/2020	Tuolumne County					
4/16/2020	Ventura County	398	275			
4/16/2020	Yolo County	246	206			
4/16/2020	Yuba County	30	18			
4/17/2020	Alameda County	403	299	91	85	
4/17/2020	Alpine County					
4/17/2020	Amador County					
4/17/2020	Butte County	71	94			
4/17/2020	Calaveras County	20	20			
4/17/2020	Colusa County					
4/17/2020	Contra Costa County	340				
4/17/2020	Del Norte County					
4/17/2020	El Dorado County					
4/17/2020	Fresno County	305	250	28	28	
4/17/2020	Glenn County					
4/17/2020	Humboldt County	44	11	15		
4/17/2020	Imperial County	36				
4/17/2020	Inyo County					
4/17/2020	Kern County			15	15	
4/17/2020	Kings County					
4/17/2020	Lake County					
4/17/2020	Lassen County					
4/17/2020	Los Angeles County	3,085	765	658	654	
4/17/2020	Madera County					
4/17/2020	Marin County	112	72	44		
4/17/2020	Mariposa County	44				
4/17/2020	Mendocino County	128	82			
4/17/2020	Merced County					
4/17/2020	Modoc County					
4/17/2020	Mono County	48				
4/17/2020	Monterey County			108		
4/17/2020	Napa County	104	47	18		
4/17/2020	Nevada County	27				
4/17/2020	Orange County	276	31	78	76	
4/17/2020	Placer County	15	15			
4/17/2020	Plumas County					
4/17/2020	Riverside County	422	303	15	15	
4/17/2020	Sacramento County	316	63	63	63	
4/17/2020	San Benito County	67	32			
4/17/2020	San Bernardino County	50	37	20		20
4/17/2020	San Diego County	2,029	409	45	45	
4/17/2020	San Francisco County	1,271	748			
4/17/2020	San Joaquin County					
4/17/2020	San Luis Obispo County	154		14	14	
4/17/2020	San Mateo County	94	94			
4/17/2020	Santa Barbara County	76				
4/17/2020	Santa Clara County	453	234	105	105	
4/17/2020	Santa Cruz County	27	19	35		
4/17/2020	Shasta County	20				
4/17/2020	Sierra County					
4/17/2020	Siskiyou County					
4/17/2020	Solano County					
4/17/2020	Sonoma County	45	45			
4/17/2020	Stanislaus County	121				
4/17/2020	Sutter County	16	16			
4/17/2020	Tehama County					
4/17/2020	Trinity County					
4/17/2020	Tulare County	23				
4/17/2020	Tuolumne County					
4/17/2020	Ventura County	398	275			
4/17/2020	Yolo County	246	206			
4/17/2020	Yuba County	35	18			
4/18/2020	Alameda County	403	313	91	85	
4/18/2020	Alpine County					
4/18/2020	Amador County					
4/18/2020	Butte County	94	94			
4/18/2020	Calaveras County	20	20			
4/18/2020	Colusa County					
4/18/2020	Contra Costa County	340				
4/18/2020	Del Norte County					
4/18/2020	El Dorado County					
4/18/2020	Fresno County	305	250	28	28	
4/18/2020	Glenn County					
4/18/2020	Humboldt County	44	11	15		
4/18/2020	Imperial County	36				
4/18/2020	Inyo County					
4/18/2020	Kern County			15	15	
4/18/2020	Kings County					
4/18/2020	Lake County					
4/18/2020	Lassen County					
4/18/2020	Los Angeles County	3,085	830	658	654	
4/18/2020	Madera County					
4/18/2020	Marin County	112	72	44		
4/18/2020	Mariposa County	44				
4/18/2020	Mendocino County	128	82			
4/18/2020	Merced County					
4/18/2020	Modoc County					
4/18/2020	Mono County	48				
4/18/2020	Monterey County			108	15	
4/18/2020	Napa County	104	47	18		
4/18/2020	Nevada County	27				
4/18/2020	Orange County	276	31	78	76	
4/18/2020	Placer County	15	15			
4/18/2020	Plumas County					
4/18/2020	Riverside County	422	303	15	15	
4/18/2020	Sacramento County	316	63	63	63	
4/18/2020	San Benito County	67	37			
4/18/2020	San Bernardino County	50	37	20		20
4/18/2020	San Diego County	2,029	409	45	45	
4/18/2020	San Francisco County	1,271	710			
4/18/2020	San Joaquin County					
4/18/2020	San Luis Obispo County	154		14	14	
4/18/2020	San Mateo County	94	94			
4/18/2020	Santa Barbara County	76				
4/18/2020	Santa Clara County	453	234	105	105	
4/18/2020	Santa Cruz County	27	19	35		
4/18/2020	Shasta County	20				
4/18/2020	Sierra County					
4/18/2020	Siskiyou County					
4/18/2020	Solano County					
4/18/2020	Sonoma County	45	45			
4/18/2020	Stanislaus County	121				
4/18/2020	Sutter County	16	16			
4/18/2020	Tehama County					
4/18/2020	Trinity County					
4/18/2020	Tulare County	56				
4/18/2020	Tuolumne County					
4/18/2020	Ventura County	398	275			
4/18/2020	Yolo County	246	206			
4/18/2020	Yuba County	35	18			
4/19/2020	Alameda County	403	328	91	85	
4/19/2020	Alpine County					
4/19/2020	Amador County					
4/19/2020	Butte County	94	94			
4/19/2020	Calaveras County	20	20			
4/19/2020	Colusa County					
4/19/2020	Contra Costa County	340				
4/19/2020	Del Norte County					
4/19/2020	El Dorado County					
4/19/2020	Fresno County	305	250	28	28	
4/19/2020	Glenn County					
4/19/2020	Humboldt County	44	11	15		
4/19/2020	Imperial County	36				
4/19/2020	Inyo County					
4/19/2020	Kern County			15	15	
4/19/2020	Kings County					
4/19/2020	Lake County					
4/19/2020	Lassen County					
4/19/2020	Los Angeles County	3,172	830	658	654	
4/19/2020	Madera County					
4/19/2020	Marin County	112	72	44		
4/19/2020	Mariposa County	44				
4/19/2020	Mendocino County	128	82			
4/19/2020	Merced County					
4/19/2020	Modoc County					
4/19/2020	Mono County	48				
4/19/2020	Monterey County			108	15	
4/19/2020	Napa County	104	47	18		
4/19/2020	Nevada County	27				
4/19/2020	Orange County	276	31	78	76	
4/19/2020	Placer County	15	15			
4/19/2020	Plumas County					
4/19/2020	Riverside County	422	303	15	15	
4/19/2020	Sacramento County	316	63	63	63	
4/19/2020	San Benito County	67	48			
4/19/2020	San Bernardino County	50	37	20		20
4/19/2020	San Diego County	2,029	409	45	45	
4/19/2020	San Francisco County	1,273	725			
4/19/2020	San Joaquin County					
4/19/2020	San Luis Obispo County	154		14	14	
4/19/2020	San Mateo County	94	94			
4/19/2020	Santa Barbara County	76				
4/19/2020	Santa Clara County	453	234	105	105	
4/19/2020	Santa Cruz County	27	20	35		
4/19/2020	Shasta County	20				
4/19/2020	Sierra County					
4/19/2020	Siskiyou County					
4/19/2020	Solano County					
4/19/2020	Sonoma County	45	45			
4/19/2020	Stanislaus County	121				
4/19/2020	Sutter County	16	16			
4/19/2020	Tehama County					
4/19/2020	Trinity County					
4/19/2020	Tulare County	56				
4/19/2020	Tuolumne County					
4/19/2020	Ventura County	398	275			
4/19/2020	Yolo County	246	206			
4/19/2020	Yuba County	35	18			
4/20/2020	Alameda County	403	328	91	91	
4/20/2020	Alpine County					
4/20/2020	Amador County					
4/20/2020	Butte County	82	82			
4/20/2020	Calaveras County	20	20			
4/20/2020	Colusa County					
4/20/2020	Contra Costa County	340				
4/20/2020	Del Norte County					
4/20/2020	El Dorado County					
4/20/2020	Fresno County	305	250	28	28	
4/20/2020	Glenn County					
4/20/2020	Humboldt County	44	11	15		
4/20/2020	Imperial County	36				
4/20/2020	Inyo County					
4/20/2020	Kern County			15	15	
4/20/2020	Kings County					
4/20/2020	Lake County					
4/20/2020	Lassen County					
4/20/2020	Los Angeles County	3,172	888	658	647	
4/20/2020	Madera County					
4/20/2020	Marin County	112	73	44		
4/20/2020	Mariposa County	44	13			
4/20/2020	Mendocino County	134	95			
4/20/2020	Merced County					
4/20/2020	Modoc County					
4/20/2020	Mono County	48				
4/20/2020	Monterey County			108	15	
4/20/2020	Napa County	104	48	18		
4/20/2020	Nevada County	27				
4/20/2020	Orange County	276	31	78	78	
4/20/2020	Placer County	15	15			
4/20/2020	Plumas County					
4/20/2020	Riverside County	422	303	15	15	
4/20/2020	Sacramento County	316	63	63	63	
4/20/2020	San Benito County	67	41			
4/20/2020	San Bernardino County	50	37	20		20
4/20/2020	San Diego County	2,029	409	45	44	
4/20/2020	San Francisco County	1,273	718			
4/20/2020	San Joaquin County					
4/20/2020	San Luis Obispo County	154		14	14	
4/20/2020	San Mateo County	94	64			
4/20/2020	Santa Barbara County	85				
4/20/2020	Santa Clara County	453	234	105	105	
4/20/2020	Santa Cruz County	27	20	35		
4/20/2020	Shasta County	20				
4/20/2020	Sierra County					
4/20/2020	Siskiyou County					
4/20/2020	Solano County					
4/20/2020	Sonoma County	45	45			
4/20/2020	Stanislaus County	121				
4/20/2020	Sutter County	16	16			
4/20/2020	Tehama County					
4/20/2020	Trinity County					
4/20/2020	Tulare County	56				
4/20/2020	Tuolumne County					
4/20/2020	Ventura County	398	275			
4/20/2020	Yolo County	246	206			
4/20/2020	Yuba County	35	18			
4/21/2020	Alameda County	403	346	91	91	
4/21/2020	Alpine County					
4/21/2020	Amador County					
4/21/2020	Butte County	82	82			
4/21/2020	Calaveras County	20	20			
4/21/2020	Colusa County					
4/21/2020	Contra Costa County	340				
4/21/2020	Del Norte County					
4/21/2020	El Dorado County					
4/21/2020	Fresno County	305	250	28	28	
4/21/2020	Glenn County					
4/21/2020	Humboldt County	44	11	15		
4/21/2020	Imperial County	36		37		
4/21/2020	Inyo County					
4/21/2020	Kern County			15	15	
4/21/2020	Kings County					
4/21/2020	Lake County					
4/21/2020	Lassen County					
4/21/2020	Los Angeles County	3,292	939	658	647	
4/21/2020	Madera County					
4/21/2020	Marin County	112	73	44		
4/21/2020	Mariposa County	44	13			
4/21/2020	Mendocino County	140	101			
4/21/2020	Merced County					
4/21/2020	Modoc County					
4/21/2020	Mono County	48				
4/21/2020	Monterey County			108	15	
4/21/2020	Napa County	104	48	18		
4/21/2020	Nevada County	27				
4/21/2020	Orange County	276	31	78	78	
4/21/2020	Placer County	32	32	12		
4/21/2020	Plumas County					
4/21/2020	Riverside County	422	303	15	15	
4/21/2020	Sacramento County	316	63	63	63	
4/21/2020	San Benito County	67	41			
4/21/2020	San Bernardino County	50	37	20		20
4/21/2020	San Diego County	2,029	409	44	44	
4/21/2020	San Francisco County	1,273	737			
4/21/2020	San Joaquin County					
4/21/2020	San Luis Obispo County	154		14	14	
4/21/2020	San Mateo County	94	64			
4/21/2020	Santa Barbara County	85				
4/21/2020	Santa Clara County	575	226	105	105	
4/21/2020	Santa Cruz County	27	20	35		
4/21/2020	Shasta County	20				
4/21/2020	Sierra County					
4/21/2020	Siskiyou County					
4/21/2020	Solano County					
4/21/2020	Sonoma County	45	45			
4/21/2020	Stanislaus County	121				
4/21/2020	Sutter County	16	16			
4/21/2020	Tehama County					
4/21/2020	Trinity County					
4/21/2020	Tulare County	56				
4/21/2020	Tuolumne County					
4/21/2020	Ventura County	398	275			
4/21/2020	Yolo County	246	206			
4/21/2020	Yuba County	35	18			
4/22/2020	Alameda County	403	346	91	91	
4/22/2020	Alpine County					
4/22/2020	Amador County					
4/22/2020	Butte County	82	82			
4/22/2020	Calaveras County	20	20			
4/22/2020	Colusa County					
4/22/2020	Contra Costa County	340				
4/22/2020	Del Norte County					
4/22/2020	El Dorado County					
4/22/2020	Fresno County	305	250	28	28	
4/22/2020	Glenn County					
4/22/2020	Humboldt County	44	11	15		
4/22/2020	Imperial County	36		37		
4/22/2020	Inyo County					
4/22/2020	Kern County			15	15	
4/22/2020	Kings County					
4/22/2020	Lake County					
4/22/2020	Lassen County					
